0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
1.1 0
1.2 121.744
1.3 122.192
1.4 121.296
1.5 121.744
1.6 122.192
1.7 121.408
1.8 122.08
1.9 121.968
2 121.856
2.1 121.632
2.2 121.744
2.3 121.856
2.4 121.52
2.5 121.52
2.6 122.304
2.7 121.968
2.8 121.856
2.9 121.968
3 121.632
3.1 121.632
3.2 121.52
3.3 121.52
3.4 121.52
3.5 121.744
3.6 121.744
3.7 121.744
3.8 121.52
3.9 121.632
4 122.192
4.1 121.52
4.2 121.968
4.3 122.08
4.4 121.744
4.5 121.744
4.6 121.408
4.7 121.856
4.8 121.968
4.9 121.744
5 121.52
5.1 121.856
5.2 121.632
5.3 121.856
5.4 121.968
5.5 122.08
5.6 121.52
5.7 121.744
5.8 121.856
5.9 122.08
6 121.632
6.1 121.856
6.2 121.744
6.3 121.52
6.4 122.192
6.5 121.184
6.6 121.408
6.7 122.192
6.8 121.632
6.9 121.632
7 121.52
7.1 121.632
7.2 122.08
7.3 121.744
7.4 121.856
7.5 121.744
7.6 121.632
7.7 121.744
7.8 121.52
7.9 121.52
8 121.744
8.1 121.632
8.2 121.632
8.3 121.968
8.4 122.192
8.5 121.744
8.6 121.744
8.7 121.744
8.8 121.968
8.9 121.52
9 121.744
9.1 121.632
9.2 121.632
9.3 121.744
9.4 122.304
9.5 122.416
9.6 121.408
9.7 121.856
9.8 121.856
9.9 122.192
