% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.102	1	3	111	3	1	28	1383	0	0	15
1.102	1	1	111	3	2	28	1383	0	0	15
1.102	1	2	111	3	3	28	1383	0	0	15
1.319	1	1	132	10	2	28	1383	0	0	15
1.319	1	2	132	10	3	28	1383	0	0	15
1.319	1	3	132	10	1	28	1383	0	0	15
1.32	1	2	133	1	3	28	1383	0	0	15
1.32	1	3	133	1	1	28	1383	0	0	15
1.32	1	1	133	1	2	28	1383	0	0	15
1.537	1	3	154	8	1	28	1383	0	0	15
1.537	1	1	154	8	2	28	1383	0	0	15
1.537	1	2	154	8	3	28	1383	0	0	15
1.538	1	1	154	9	2	28	1383	0	0	15
1.538	1	2	154	9	3	28	1383	0	0	15
1.538	1	3	154	9	1	28	1383	0	0	15
1.539	1	2	154	10	3	28	1383	0	0	15
1.539	1	3	154	10	1	28	1383	0	0	15
1.539	1	1	154	10	2	28	1383	0	0	15
1.756	1	3	176	7	1	28	1383	0	0	15
1.756	1	1	176	7	2	28	1383	0	0	15
1.756	1	2	176	7	3	28	1383	0	0	15
1.757	1	1	176	8	2	28	1383	0	0	15
1.757	1	2	176	8	3	28	1383	0	0	15
1.757	1	3	176	8	1	28	1383	0	0	15
1.758	1	2	176	9	3	28	1383	0	0	15
1.758	1	3	176	9	1	28	1383	0	0	15
1.758	1	1	176	9	2	28	1383	0	0	15
1.759	1	3	176	10	1	28	1383	0	0	15
1.759	1	1	176	10	2	28	1383	0	0	15
1.759	1	2	176	10	3	28	1383	0	0	15
1.975	1	1	198	6	2	28	1383	0	0	15
1.975	1	2	198	6	3	28	1383	0	0	15
1.975	1	3	198	6	1	28	1383	0	0	15
1.976	1	2	198	7	3	28	1383	0	0	15
1.976	1	3	198	7	1	28	1383	0	0	15
1.976	1	1	198	7	2	28	1383	0	0	15
1.977	1	3	198	8	1	28	1383	0	0	15
1.977	1	1	198	8	2	28	1383	0	0	15
1.977	1	2	198	8	3	28	1383	0	0	15
1.978	1	1	198	9	2	28	1383	0	0	15
1.978	1	2	198	9	3	28	1383	0	0	15
1.978	1	3	198	9	1	28	1383	0	0	15
2.176	1	2	218	7	3	28	1383	0	0	15
2.176	1	3	218	7	1	28	1383	0	0	15
2.176	1	1	218	7	2	28	1383	0	0	15
2.177	1	3	218	8	1	28	1383	0	0	15
2.177	1	1	218	8	2	28	1383	0	0	15
2.177	1	2	218	8	3	28	1383	0	0	15
2.178	1	1	218	9	2	28	1383	0	0	15
2.178	1	2	218	9	3	28	1383	0	0	15
2.178	1	3	218	9	1	28	1383	0	0	15
2.194	1	2	220	5	3	28	1383	0	0	15
2.194	1	3	220	5	1	28	1383	0	0	15
2.194	1	1	220	5	2	28	1383	0	0	15
2.195	1	3	220	6	1	28	1383	0	0	15
2.195	1	1	220	6	2	28	1383	0	0	15
2.195	1	2	220	6	3	28	1383	0	0	15
2.196	1	1	220	7	2	28	1383	0	0	15
