% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.501	1	1	151	2	2	28	3062
1.501	1	2	151	2	3	28	3062
1.502	1	3	151	3	1	28	3062
1.502	1	1	151	3	2	28	3062
1.502	1	2	151	3	3	28	3062
1.503	1	3	151	4	1	28	3062
1.503	1	1	151	4	2	28	3062
1.503	1	2	151	4	3	28	3062
1.504	1	3	151	5	1	28	3062
1.504	1	1	151	5	2	28	3062
1.504	1	2	151	5	3	28	3062
1.505	1	3	151	6	1	28	3062
1.505	1	1	151	6	2	28	3062
1.505	1	2	151	6	3	28	3062
1.506	1	3	151	7	1	28	3062
1.506	1	1	151	7	2	28	3062
1.506	1	2	151	7	3	28	3062
1.507	1	3	151	8	1	28	3062
1.507	1	1	151	8	2	28	3062
1.507	1	2	151	8	3	28	3062
1.508	1	3	151	9	1	28	3062
1.508	1	1	151	9	2	28	3062
1.508	1	2	151	9	3	28	3062
1.509	1	3	151	10	1	28	3062
1.509	1	1	151	10	2	28	3062
1.509	1	2	151	10	3	28	3062
1.51	1	3	152	1	1	28	3062
1.51	1	1	152	1	2	28	3062
1.51	1	2	152	1	3	28	3062
1.511	1	3	152	2	1	28	3062
1.511	1	1	152	2	2	28	3062
1.511	1	2	152	2	3	28	3062
1.512	1	3	152	3	1	28	3062
1.512	1	1	152	3	2	28	3062
1.512	1	2	152	3	3	28	3062
1.513	1	3	152	4	1	28	3062
1.513	1	1	152	4	2	28	3062
1.513	1	2	152	4	3	28	3062
1.514	1	3	152	5	1	28	3062
1.514	1	1	152	5	2	28	3062
1.514	1	2	152	5	3	28	3062
1.515	1	3	152	6	1	28	3062
1.515	1	1	152	6	2	28	3062
1.515	1	2	152	6	3	28	3062
1.542	1	3	155	3	1	28	3062
1.542	1	1	155	3	2	28	3062
1.542	1	2	155	3	3	28	3062
1.543	1	3	155	4	1	28	3062
1.543	1	1	155	4	2	28	3062
1.543	1	2	155	4	3	28	3062
1.544	1	3	155	5	1	28	3062
1.544	1	1	155	5	2	28	3062
1.544	1	2	155	5	3	28	3062
1.545	1	3	155	6	1	28	3062
1.545	1	1	155	6	2	28	3062
1.545	1	2	155	6	3	28	3062
1.546	1	3	155	7	1	28	3062
1.546	1	1	155	7	2	28	3062
1.546	1	2	155	7	3	28	3062
1.547	1	3	155	8	1	28	3062
1.547	1	1	155	8	2	28	3062
1.547	1	2	155	8	3	28	3062
1.548	1	3	155	9	1	28	3062
1.548	1	1	155	9	2	28	3062
1.548	1	2	155	9	3	28	3062
1.549	1	3	155	10	1	28	3062
1.549	1	1	155	10	2	28	3062
1.549	1	2	155	10	3	28	3062
1.55	1	3	156	1	1	28	3062
1.55	1	1	156	1	2	28	3062
1.55	1	2	156	1	3	28	3062
1.551	1	3	156	2	1	28	3062
1.551	1	1	156	2	2	28	3062
1.551	1	2	156	2	3	28	3062
1.552	1	3	156	3	1	28	3062
1.552	1	1	156	3	2	28	3062
1.552	1	2	156	3	3	28	3062
1.553	1	3	156	4	1	28	3062
1.553	1	1	156	4	2	28	3062
1.553	1	2	156	4	3	28	3062
1.554	1	3	156	5	1	28	3062
1.554	1	1	156	5	2	28	3062
1.554	1	2	156	5	3	28	3062
1.555	1	3	156	6	1	28	3062
1.555	1	1	156	6	2	28	3062
1.555	1	2	156	6	3	28	3062
1.556	1	3	156	7	1	28	3062
1.556	1	1	156	7	2	28	3062
1.556	1	2	156	7	3	28	3062
1.557	1	3	156	8	1	28	3062
1.557	1	1	156	8	2	28	3062
1.557	1	2	156	8	3	28	3062
1.558	1	3	156	9	1	28	3062
1.558	1	1	156	9	2	28	3062
1.558	1	2	156	9	3	28	3062
1.559	1	3	156	10	1	28	3062
1.559	1	1	156	10	2	28	3062
1.559	1	2	156	10	3	28	3062
1.56	1	3	157	1	1	28	3062
1.56	1	1	157	1	2	28	3062
1.56	1	2	157	1	3	28	3062
1.561	1	3	157	2	1	28	3062
1.561	1	1	157	2	2	28	3062
1.561	1	2	157	2	3	28	3062
1.562	1	3	157	3	1	28	3062
1.562	1	1	157	3	2	28	3062
1.562	1	2	157	3	3	28	3062
1.563	1	3	157	4	1	28	3062
1.563	1	1	157	4	2	28	3062
1.563	1	2	157	4	3	28	3062
1.564	1	3	157	5	1	28	3062
1.564	1	1	157	5	2	28	3062
1.564	1	2	157	5	3	28	3062
1.565	1	3	157	6	1	28	3062
1.565	1	1	157	6	2	28	3062
1.565	1	2	157	6	3	28	3062
1.566	1	3	157	7	1	28	3062
1.566	1	1	157	7	2	28	3062
1.566	1	2	157	7	3	28	3062
1.567	1	3	157	8	1	28	3062
1.567	1	1	157	8	2	28	3062
1.567	1	2	157	8	3	28	3062
1.568	1	3	157	9	1	28	3062
1.568	1	1	157	9	2	28	3062
1.568	1	2	157	9	3	28	3062
1.569	1	3	157	10	1	28	3062
1.569	1	1	157	10	2	28	3062
1.569	1	2	157	10	3	28	3062
1.57	1	3	158	1	1	28	3062
1.57	1	1	158	1	2	28	3062
1.57	1	2	158	1	3	28	3062
1.571	1	3	158	2	1	28	3062
1.571	1	1	158	2	2	28	3062
1.571	1	2	158	2	3	28	3062
1.572	1	3	158	3	1	28	3062
1.572	1	1	158	3	2	28	3062
