0.1 0
0.2 0
0.3 0
0.4 0
0.5 0
0.6 0
0.7 0
0.8 0
0.9 0
1 0
1.1 0
1.2 0
1.3 0.56
1.4 0.336
1.5 0.672
1.6 1.008
1.7 3.36
1.8 3.024
1.9 4.704
2 5.04
2.1 5.6
2.2 9.184
2.3 4.928
2.4 4.928
2.5 5.152
2.6 5.824
2.7 8.736
2.8 4.928
2.9 4.928
3 5.824
3.1 6.048
3.2 7.84
3.3 4.928
3.4 5.824
3.5 5.824
3.6 5.6
3.7 7.392
3.8 4.928
3.9 6.048
4 6.048
4.1 6.048
4.2 6.496
4.3 6.048
4.4 4.928
4.5 7.168
4.6 6.496
4.7 6.048
4.8 4.928
4.9 4.928
5 7.056
5.1 6.608
5.2 6.048
5.3 4.928
5.4 4.928
5.5 6.496
5.6 8.288
5.7 4.928
5.8 4.928
5.9 5.376
6 6.272
6.1 8.064
6.2 4.928
6.3 5.376
6.4 6.16
6.5 7.056
6.6 6.048
6.7 5.152
6.8 5.6
6.9 6.944
