% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.017	1	3	102	8	1	28	1383	0	0	15
1.017	1	1	102	8	2	28	1383	0	0	15
1.017	1	2	102	8	3	28	1383	0	0	15
1.064	1	1	107	5	2	28	1383	0	0	15
1.064	1	2	107	5	3	28	1383	0	0	15
1.064	1	3	107	5	1	28	1383	0	0	15
1.065	1	2	107	6	3	28	1383	0	0	15
1.065	1	3	107	6	1	28	1383	0	0	15
1.065	1	1	107	6	2	28	1383	0	0	15
1.112	1	3	112	3	1	28	1383	0	0	15
1.112	1	1	112	3	2	28	1383	0	0	15
1.112	1	2	112	3	3	28	1383	0	0	15
1.113	1	1	112	4	2	28	1383	0	0	15
1.113	1	2	112	4	3	28	1383	0	0	15
1.113	1	3	112	4	1	28	1383	0	0	15
1.114	1	2	112	5	3	28	1383	0	0	15
1.114	1	3	112	5	1	28	1383	0	0	15
1.114	1	1	112	5	2	28	1383	0	0	15
1.161	1	3	117	2	1	28	1383	0	0	15
1.161	1	1	117	2	2	28	1383	0	0	15
1.161	1	2	117	2	3	28	1383	0	0	15
1.162	1	1	117	3	2	28	1383	0	0	15
1.162	1	2	117	3	3	28	1383	0	0	15
1.162	1	3	117	3	1	28	1383	0	0	15
1.163	1	2	117	4	3	28	1383	0	0	15
1.163	1	3	117	4	1	28	1383	0	0	15
1.163	1	1	117	4	2	28	1383	0	0	15
1.164	1	3	117	5	1	28	1383	0	0	15
1.164	1	1	117	5	2	28	1383	0	0	15
1.164	1	2	117	5	3	28	1383	0	0	15
1.21	1	1	122	1	2	28	1383	0	0	15
1.21	1	2	122	1	3	28	1383	0	0	15
1.21	1	3	122	1	1	28	1383	0	0	15
1.211	1	2	122	2	3	28	1383	0	0	15
1.211	1	3	122	2	1	28	1383	0	0	15
1.211	1	1	122	2	2	28	1383	0	0	15
1.212	1	3	122	3	1	28	1383	0	0	15
1.212	1	1	122	3	2	28	1383	0	0	15
1.212	1	2	122	3	3	28	1383	0	0	15
1.213	1	1	122	4	2	28	1383	0	0	15
1.213	1	2	122	4	3	28	1383	0	0	15
1.213	1	3	122	4	1	28	1383	0	0	15
1.258	1	2	126	9	3	28	1383	0	0	15
1.258	1	3	126	9	1	28	1383	0	0	15
1.258	1	1	126	9	2	28	1383	0	0	15
1.259	1	3	126	10	1	28	1383	0	0	15
1.259	1	1	126	10	2	28	1383	0	0	15
1.259	1	2	126	10	3	28	1383	0	0	15
1.26	1	1	127	1	2	28	1383	0	0	15
1.26	1	2	127	1	3	28	1383	0	0	15
1.26	1	3	127	1	1	28	1383	0	0	15
1.261	1	2	127	2	3	28	1383	0	0	15
1.261	1	3	127	2	1	28	1383	0	0	15
1.261	1	1	127	2	2	28	1383	0	0	15
1.262	1	3	127	3	1	28	1383	0	0	15
1.262	1	1	127	3	2	28	1383	0	0	15
1.262	1	2	127	3	3	28	1383	0	0	15
1.263	1	1	127	4	2	28	1383	0	0	15
1.263	1	2	127	4	3	28	1383	0	0	15
1.263	1	3	127	4	1	28	1383	0	0	15
1.264	1	2	127	5	3	28	1383	0	0	15
1.264	1	3	127	5	1	28	1383	0	0	15
1.264	1	1	127	5	2	28	1383	0	0	15
1.307	1	3	131	8	1	28	1383	0	0	15
1.307	1	1	131	8	2	28	1383	0	0	15
1.307	1	2	131	8	3	28	1383	0	0	15
1.308	1	1	131	9	2	28	1383	0	0	15
1.308	1	2	131	9	3	28	1383	0	0	15
1.308	1	3	131	9	1	28	1383	0	0	15
1.309	1	2	131	10	3	28	1383	0	0	15
1.309	1	3	131	10	1	28	1383	0	0	15
1.309	1	1	131	10	2	28	1383	0	0	15
1.31	1	3	132	1	1	28	1383	0	0	15
1.31	1	1	132	1	2	28	1383	0	0	15
1.31	1	2	132	1	3	28	1383	0	0	15
1.311	1	1	132	2	2	28	1383	0	0	15
1.311	1	2	132	2	3	28	1383	0	0	15
1.311	1	3	132	2	1	28	1383	0	0	15
1.312	1	2	132	3	3	28	1383	0	0	15
1.312	1	3	132	3	1	28	1383	0	0	15
1.312	1	1	132	3	2	28	1383	0	0	15
1.313	1	3	132	4	1	28	1383	0	0	15
1.313	1	1	132	4	2	28	1383	0	0	15
1.313	1	2	132	4	3	28	1383	0	0	15
1.314	1	1	132	5	2	28	1383	0	0	15
1.314	1	2	132	5	3	28	1383	0	0	15
1.314	1	3	132	5	1	28	1383	0	0	15
1.315	1	2	132	6	3	28	1383	0	0	15
1.315	1	3	132	6	1	28	1383	0	0	15
1.315	1	1	132	6	2	28	1383	0	0	15
1.316	1	3	132	7	1	28	1383	0	0	15
1.316	1	1	132	7	2	28	1383	0	0	15
1.316	1	2	132	7	3	28	1383	0	0	15
1.356	1	1	136	7	2	28	1383	0	0	15
1.356	1	2	136	7	3	28	1383	0	0	15
1.356	1	3	136	7	1	28	1383	0	0	15
1.357	1	2	136	8	3	28	1383	0	0	15
1.357	1	3	136	8	1	28	1383	0	0	15
1.357	1	1	136	8	2	28	1383	0	0	15
1.358	1	3	136	9	1	28	1383	0	0	15
1.358	1	1	136	9	2	28	1383	0	0	15
1.358	1	2	136	9	3	28	1383	0	0	15
1.359	1	1	136	10	2	28	1383	0	0	15
1.359	1	2	136	10	3	28	1383	0	0	15
1.359	1	3	136	10	1	28	1383	0	0	15
1.36	1	2	137	1	3	28	1383	0	0	15
1.36	1	3	137	1	1	28	1383	0	0	15
1.36	1	1	137	1	2	28	1383	0	0	15
1.361	1	3	137	2	1	28	1383	0	0	15
1.361	1	1	137	2	2	28	1383	0	0	15
1.361	1	2	137	2	3	28	1383	0	0	15
1.362	1	1	137	3	2	28	1383	0	0	15
1.362	1	2	137	3	3	28	1383	0	0	15
1.362	1	3	137	3	1	28	1383	0	0	15
1.363	1	2	137	4	3	28	1383	0	0	15
1.363	1	3	137	4	1	28	1383	0	0	15
1.363	1	1	137	4	2	28	1383	0	0	15
1.364	1	3	137	5	1	28	1383	0	0	15
1.364	1	1	137	5	2	28	1383	0	0	15
1.364	1	2	137	5	3	28	1383	0	0	15
1.365	1	1	137	6	2	28	1383	0	0	15
1.365	1	2	137	6	3	28	1383	0	0	15
1.365	1	3	137	6	1	28	1383	0	0	15
1.366	1	2	137	7	3	28	1383	0	0	15
1.366	1	3	137	7	1	28	1383	0	0	15
1.366	1	1	137	7	2	28	1383	0	0	15
1.367	1	3	137	8	1	28	1383	0	0	15
1.367	1	1	137	8	2	28	1383	0	0	15
1.367	1	2	137	8	3	28	1383	0	0	15
1.368	1	1	137	9	2	28	1383	0	0	15
1.368	1	2	137	9	3	28	1383	0	0	15
1.368	1	3	137	9	1	28	1383	0	0	15
