% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
3.927	1	1	393	8	1	28	4395	0	0	47
3.928	1	1	393	9	1	28	4395	0	0	47
3.929	1	1	393	10	1	28	4395	0	0	47
3.93	1	1	394	1	1	28	4395	0	0	47
3.931	1	1	394	2	1	28	4395	0	0	47
3.932	1	1	394	3	1	28	4395	0	0	47
3.933	1	1	394	4	1	28	4395	0	0	47
3.934	1	1	394	5	1	28	4395	0	0	47
3.935	1	1	394	6	1	28	4395	0	0	47
3.936	1	1	394	7	1	28	4395	0	0	47
3.937	1	1	394	8	1	28	4395	0	0	47
3.938	1	1	394	9	1	28	4395	0	0	47
3.939	1	1	394	10	1	28	4395	0	0	47
3.94	1	1	395	1	1	28	4395	0	0	47
3.941	1	1	395	2	1	28	4395	0	0	47
3.942	1	1	395	3	1	28	4395	0	0	47
3.943	1	1	395	4	1	28	4395	0	0	47
3.944	1	1	395	5	1	28	4395	0	0	47
3.945	1	1	395	6	1	28	4395	0	0	47
3.946	1	1	395	7	1	28	4395	0	0	47
3.947	1	1	395	8	1	28	4395	0	0	47
3.948	1	1	395	9	1	28	4395	0	0	47
3.949	1	1	395	10	1	28	4395	0	0	47
3.95	1	1	396	1	1	28	4395	0	0	47
3.951	1	1	396	2	1	28	4395	0	0	47
3.952	1	1	396	3	1	28	4395	0	0	47
3.953	1	1	396	4	1	28	4395	0	0	47
3.954	1	1	396	5	1	28	4395	0	0	47
3.955	1	1	396	6	1	28	4395	0	0	47
3.956	1	1	396	7	1	28	4395	0	0	47
4.123	1	1	413	4	1	28	4395	0	0	47
4.124	1	1	413	5	1	28	4395	0	0	47
4.125	1	1	413	6	1	28	4395	0	0	47
4.126	1	1	413	7	1	28	4395	0	0	47
4.127	1	1	413	8	1	28	4395	0	0	47
4.128	1	1	413	9	1	28	4395	0	0	47
4.129	1	1	413	10	1	28	4395	0	0	47
4.13	1	1	414	1	1	28	4395	0	0	47
4.131	1	1	414	2	1	28	4395	0	0	47
4.132	1	1	414	3	1	28	4395	0	0	47
4.133	1	1	414	4	1	28	4395	0	0	47
4.134	1	1	414	5	1	28	4395	0	0	47
4.135	1	1	414	6	1	28	4395	0	0	47
4.136	1	1	414	7	1	28	4395	0	0	47
4.137	1	1	414	8	1	28	4395	0	0	47
4.138	1	1	414	9	1	28	4395	0	0	47
4.139	1	1	414	10	1	28	4395	0	0	47
4.14	1	1	415	1	1	28	4395	0	0	47
4.141	1	1	415	2	1	28	4395	0	0	47
4.142	1	1	415	3	1	28	4395	0	0	47
4.143	1	1	415	4	1	28	4395	0	0	47
4.144	1	1	415	5	1	28	4395	0	0	47
4.145	1	1	415	6	1	28	4395	0	0	47
4.146	1	1	415	7	1	28	4395	0	0	47
4.147	1	1	415	8	1	28	4395	0	0	47
4.148	1	1	415	9	1	28	4395	0	0	47
4.149	1	1	415	10	1	28	4395	0	0	47
4.15	1	1	416	1	1	28	4395	0	0	47
4.151	1	1	416	2	1	28	4395	0	0	47
4.152	1	1	416	3	1	28	4395	0	0	47
4.153	1	1	416	4	1	28	4395	0	0	47
4.154	1	1	416	5	1	28	4395	0	0	47
4.155	1	1	416	6	1	28	4395	0	0	47
4.156	1	1	416	7	1	28	4395	0	0	47
4.157	1	1	416	8	1	28	4395	0	0	47
4.158	1	1	416	9	1	28	4395	0	0	47
4.159	1	1	416	10	1	28	4395	0	0	47
