% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.642	1	1	165	3	1	28	4395	0	0	47
1.643	1	1	165	4	1	28	4395	0	0	47
1.644	1	1	165	5	1	28	4395	0	0	47
1.645	1	1	165	6	1	28	4395	0	0	47
1.646	1	1	165	7	1	28	4395	0	0	47
1.647	1	1	165	8	1	28	4395	0	0	47
1.648	1	1	165	9	1	28	4395	0	0	47
1.649	1	1	165	10	1	28	4395	0	0	47
1.65	1	1	166	1	1	28	4395	0	0	47
1.651	1	1	166	2	1	28	4395	0	0	47
1.652	1	1	166	3	1	28	4395	0	0	47
1.653	1	1	166	4	1	28	4395	0	0	47
1.654	1	1	166	5	1	28	4395	0	0	47
1.655	1	1	166	6	1	28	4395	0	0	47
1.656	1	1	166	7	1	28	4395	0	0	47
1.657	1	1	166	8	1	28	4395	0	0	47
1.658	1	1	166	9	1	28	4395	0	0	47
1.659	1	1	166	10	1	28	4395	0	0	47
1.66	1	1	167	1	1	28	4395	0	0	47
1.661	1	1	167	2	1	28	4395	0	0	47
1.662	1	1	167	3	1	28	4395	0	0	47
1.663	1	1	167	4	1	28	4395	0	0	47
1.664	1	1	167	5	1	28	4395	0	0	47
1.665	1	1	167	6	1	28	4395	0	0	47
1.666	1	1	167	7	1	28	4395	0	0	47
1.667	1	1	167	8	1	28	4395	0	0	47
1.668	1	1	167	9	1	28	4395	0	0	47
1.669	1	1	167	10	1	28	4395	0	0	47
1.67	1	1	168	1	1	28	4395	0	0	47
1.671	1	1	168	2	1	28	4395	0	0	47
1.672	1	1	168	3	1	28	4395	0	0	47
1.673	1	1	168	4	1	28	4395	0	0	47
1.674	1	1	168	5	1	28	4395	0	0	47
1.675	1	1	168	6	1	28	4395	0	0	47
1.676	1	1	168	7	1	28	4395	0	0	47
1.677	1	1	168	8	1	28	4395	0	0	47
1.678	1	1	168	9	1	28	4395	0	0	47
1.679	1	1	168	10	1	28	4395	0	0	47
1.68	1	1	169	1	1	28	4395	0	0	47
1.681	1	1	169	2	1	28	4395	0	0	47
1.682	1	1	169	3	1	28	4395	0	0	47
1.683	1	1	169	4	1	28	4395	0	0	47
1.684	1	1	169	5	1	28	4395	0	0	47
1.685	1	1	169	6	1	28	4395	0	0	47
1.686	1	1	169	7	1	28	4395	0	0	47
1.687	1	1	169	8	1	28	4395	0	0	47
1.688	1	1	169	9	1	28	4395	0	0	47
1.689	1	1	169	10	1	28	4395	0	0	47
1.69	1	1	170	1	1	28	4395	0	0	47
1.691	1	1	170	2	1	28	4395	0	0	47
1.692	1	1	170	3	1	28	4395	0	0	47
1.693	1	1	170	4	1	28	4395	0	0	47
1.694	1	1	170	5	1	28	4395	0	0	47
1.695	1	1	170	6	1	28	4395	0	0	47
1.696	1	1	170	7	1	28	4395	0	0	47
1.697	1	1	170	8	1	28	4395	0	0	47
1.698	1	1	170	9	1	28	4395	0	0	47
1.699	1	1	170	10	1	28	4395	0	0	47
1.7	1	1	171	1	1	28	4395	0	0	47
1.701	1	1	171	2	1	28	4395	0	0	47
1.702	1	1	171	3	1	28	4395	0	0	47
1.703	1	1	171	4	1	28	4395	0	0	47
1.704	1	1	171	5	1	28	4395	0	0	47
1.705	1	1	171	6	1	28	4395	0	0	47
1.706	1	1	171	7	1	28	4395	0	0	47
1.707	1	1	171	8	1	28	4395	0	0	47
1.708	1	1	171	9	1	28	4395	0	0	47
1.709	1	1	171	10	1	28	4395	0	0	47
1.71	1	1	172	1	1	28	4395	0	0	47
1.711	1	1	172	2	1	28	4395	0	0	47
1.712	1	1	172	3	1	28	4395	0	0	47
