% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	Nprb
1.102	1	1	111	3	1	28	9422	0	0	100
1.319	1	1	132	10	1	28	9422	0	0	100
1.536	1	1	154	7	1	28	9422	0	0	100
1.753	1	1	176	4	1	28	9422	0	0	100
1.97	1	1	198	1	1	28	9422	0	0	100
2.17	1	1	218	1	1	28	9422	0	0	100
2.187	1	1	219	8	1	28	9422	0	0	100
2.387	1	1	239	8	1	28	9422	0	0	100
2.404	1	1	241	5	1	28	9422	0	0	100
2.604	1	1	261	5	1	28	9422	0	0	100
2.605	1	1	261	6	1	28	9422	0	0	100
2.621	1	1	263	2	1	28	9422	0	0	100
2.821	1	1	283	2	1	28	9422	0	0	100
2.822	1	1	283	3	1	28	9422	0	0	100
2.838	1	1	284	9	1	28	9422	0	0	100
2.839	1	1	284	10	1	28	9422	0	0	100
3.038	1	1	304	9	1	28	9422	0	0	100
3.039	1	1	304	10	1	28	9422	0	0	100
3.04	1	1	305	1	1	28	9422	0	0	100
3.055	1	1	306	6	1	28	9422	0	0	100
3.056	1	1	306	7	1	28	9422	0	0	100
3.255	1	1	326	6	1	28	9422	0	0	100
3.256	1	1	326	7	1	28	9422	0	0	100
3.257	1	1	326	8	1	28	9422	0	0	100
3.258	1	1	326	9	1	28	9422	0	0	100
3.259	1	1	326	10	1	28	9422	0	0	100
3.272	1	1	328	3	1	28	9422	0	0	100
3.273	1	1	328	4	1	28	9422	0	0	100
3.274	1	1	328	5	1	28	9422	0	0	100
3.472	1	1	348	3	1	28	9422	0	0	100
3.473	1	1	348	4	1	28	9422	0	0	100
3.474	1	1	348	5	1	28	9422	0	0	100
3.475	1	1	348	6	1	28	9422	0	0	100
3.476	1	1	348	7	1	28	9422	0	0	100
3.489	1	1	349	10	1	28	9422	0	0	100
3.49	1	1	350	1	1	28	9422	0	0	100
3.491	1	1	350	2	1	28	9422	0	0	100
3.689	1	1	369	10	1	28	9422	0	0	100
3.69	1	1	370	1	1	28	9422	0	0	100
3.691	1	1	370	2	1	28	9422	0	0	100
3.692	1	1	370	3	1	28	9422	0	0	100
3.693	1	1	370	4	1	28	9422	0	0	100
3.706	1	1	371	7	1	28	9422	0	0	100
3.707	1	1	371	8	1	28	9422	0	0	100
3.708	1	1	371	9	1	28	9422	0	0	100
3.906	1	1	391	7	1	28	9422	0	0	100
3.907	1	1	391	8	1	28	9422	0	0	100
3.908	1	1	391	9	1	28	9422	0	0	100
3.909	1	1	391	10	1	28	9422	0	0	100
3.91	1	1	392	1	1	28	9422	0	0	100
3.923	1	1	393	4	1	28	9422	0	0	100
3.924	1	1	393	5	1	28	9422	0	0	100
3.925	1	1	393	6	1	28	9422	0	0	100
4.123	1	1	413	4	1	28	9422	0	0	100
4.124	1	1	413	5	1	28	9422	0	0	100
4.125	1	1	413	6	1	28	9422	0	0	100
4.126	1	1	413	7	1	28	9422	0	0	100
4.127	1	1	413	8	1	28	9422	0	0	100
4.14	1	1	415	1	1	28	9422	0	0	100
4.141	1	1	415	2	1	28	9422	0	0	100
4.142	1	1	415	3	1	28	9422	0	0	100
4.34	1	1	435	1	1	28	9422	0	0	100
4.341	1	1	435	2	1	28	9422	0	0	100
4.342	1	1	435	3	1	28	9422	0	0	100
4.343	1	1	435	4	1	28	9422	0	0	100
4.344	1	1	435	5	1	28	9422	0	0	100
4.357	1	1	436	8	1	28	9422	0	0	100
4.358	1	1	436	9	1	28	9422	0	0	100
4.359	1	1	436	10	1	28	9422	0	0	100
4.557	1	1	456	8	1	28	9422	0	0	100
4.558	1	1	456	9	1	28	9422	0	0	100
4.559	1	1	456	10	1	28	9422	0	0	100
4.56	1	1	457	1	1	28	9422	0	0	100
4.561	1	1	457	2	1	28	9422	0	0	100
4.574	1	1	458	5	1	28	9422	0	0	100
4.575	1	1	458	6	1	28	9422	0	0	100
4.576	1	1	458	7	1	28	9422	0	0	100
4.774	1	1	478	5	1	28	9422	0	0	100
4.775	1	1	478	6	1	28	9422	0	0	100
4.776	1	1	478	7	1	28	9422	0	0	100
