% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
1.686	1	1	169	7	1	28	4587
1.687	1	1	169	8	1	28	4587
1.688	1	1	169	9	1	28	4587
1.689	1	1	169	10	1	28	4587
1.69	1	1	170	1	1	28	4587
1.691	1	1	170	2	1	28	4587
1.692	1	1	170	3	1	28	4587
1.693	1	1	170	4	1	28	4587
1.694	1	1	170	5	1	28	4587
1.695	1	1	170	6	1	28	4587
1.696	1	1	170	7	1	28	4587
1.697	1	1	170	8	1	28	4587
1.698	1	1	170	9	1	28	4587
1.699	1	1	170	10	1	28	4587
1.7	1	1	171	1	1	28	4587
1.701	1	1	171	2	1	28	4587
1.702	1	1	171	3	1	28	4587
1.703	1	1	171	4	1	28	4587
1.704	1	1	171	5	1	28	4587
1.705	1	1	171	6	1	28	4587
1.706	1	1	171	7	1	28	4587
1.707	1	1	171	8	1	28	4587
1.708	1	1	171	9	1	28	4587
1.709	1	1	171	10	1	28	4587
1.71	1	1	172	1	1	28	4587
1.711	1	1	172	2	1	28	4587
1.712	1	1	172	3	1	28	4587
1.713	1	1	172	4	1	28	4587
1.714	1	1	172	5	1	28	4587
1.715	1	1	172	6	1	28	4587
1.716	1	1	172	7	1	28	4587
1.717	1	1	172	8	1	28	4587
1.718	1	1	172	9	1	28	4587
1.719	1	1	172	10	1	28	4587
1.72	1	1	173	1	1	28	4587
1.721	1	1	173	2	1	28	4587
1.722	1	1	173	3	1	28	4587
1.723	1	1	173	4	1	28	4587
1.724	1	1	173	5	1	28	4587
1.725	1	1	173	6	1	28	4587
1.726	1	1	173	7	1	28	4587
1.727	1	1	173	8	1	28	4587
1.728	1	1	173	9	1	28	4587
1.729	1	1	173	10	1	28	4587
1.73	1	1	174	1	1	28	4587
1.731	1	1	174	2	1	28	4587
1.732	1	1	174	3	1	28	4587
1.733	1	1	174	4	1	28	4587
1.734	1	1	174	5	1	28	4587
1.735	1	1	174	6	1	28	4587
1.736	1	1	174	7	1	28	4587
1.737	1	1	174	8	1	28	4587
1.738	1	1	174	9	1	28	4587
